State_County_FIPS,State_FIPS,County_FIPS,County_Name,State_Name,White_Alone
'01003','01','003',Baldwin County,Alabama,
'01015','01','015',Calhoun County,Alabama,
'01023','01','023',Choctaw County,Alabama,
'01031','01','031',Coffee County,Alabama,
'01039','01','039',Covington County,Alabama,
'01041','01','041',Crenshaw County,Alabama,
'01045','01','045',Dale County,Alabama,
'01053','01','053',Escambia County,Alabama,
'01055','01','055',Etowah County,Alabama,
'01069','01','069',Houston County,Alabama,
'01071','01','071',Jackson County,Alabama,
'01073','01','073',Jefferson County,Alabama,-34
'01079','01','079',Lawrence County,Alabama,
'01081','01','081',Lee County,Alabama,
'01087','01','087',Macon County,Alabama,-10
'01089','01','089',Madison County,Alabama,
'01091','01','091',Marengo County,Alabama,
'01097','01','097',Mobile County,Alabama,
'01101','01','101',Montgomery County,Alabama,53
'01103','01','103',Morgan County,Alabama,
'01105','01','105',Perry County,Alabama,
'01113','01','113',Russell County,Alabama,
'01117','01','117',Shelby County,Alabama,
'01125','01','125',Tuscaloosa County,Alabama,
'02013','02','013',Aleutians East Borough,Alaska,-6
'02016','02','016',Aleutians West Census Area,Alaska,
'02020','02','020',Anchorage Municipality,Alaska,460
'02068','02','068',Denali Borough,Alaska,
'02090','02','090',Fairbanks North Star Borough,Alaska,
'02110','02','110',Juneau City and Borough,Alaska,
'02122','02','122',Kenai Peninsula Borough,Alaska,40
'02130','02','130',Ketchikan Gateway Borough,Alaska,
'02150','02','150',Kodiak Island Borough,Alaska,31
'02170','02','170',Matanuska-Susitna Borough,Alaska,
'02180','02','180',Nome Census Area,Alaska,
'02185','02','185',North Slope Borough,Alaska,
'02188','02','188',Northwest Arctic Borough,Alaska,
'02195','02','195',Petersburg Borough,Alaska,
'02261','02','261',Valdez-Cordova Census Area,Alaska,
'02275','02','275',Wrangell City and Borough,Alaska,26
'02290','02','290',Yukon-Koyukuk Census Area,Alaska,
'04001','04','001',Apache County,Arizona,-7
'04003','04','003',Cochise County,Arizona,48
'04005','04','005',Coconino County,Arizona,-446
'04007','04','007',Gila County,Arizona,
'04009','04','009',Graham County,Arizona,
'04012','04','012',La Paz County,Arizona,
'04013','04','013',Maricopa County,Arizona,-1648
'04015','04','015',Mohave County,Arizona,-450
'04017','04','017',Navajo County,Arizona,
'04019','04','019',Pima County,Arizona,-275
'04021','04','021',Pinal County,Arizona,-56
'04023','04','023',Santa Cruz County,Arizona,-180
'04025','04','025',Yavapai County,Arizona,-285
'04027','04','027',Yuma County,Arizona,-117
'05005','05','005',Baxter County,Arkansas,
'05007','05','007',Benton County,Arkansas,-227
'05015','05','015',Carroll County,Arkansas,
'05017','05','017',Chicot County,Arkansas,
'05019','05','019',Clark County,Arkansas,
'05027','05','027',Columbia County,Arkansas,-9
'05031','05','031',Craighead County,Arkansas,
'05033','05','033',Crawford County,Arkansas,
'05035','05','035',Crittenden County,Arkansas,
'05043','05','043',Drew County,Arkansas,
'05049','05','049',Fulton County,Arkansas,
'05051','05','051',Garland County,Arkansas,
'05063','05','063',Independence County,Arkansas,
'05069','05','069',Jefferson County,Arkansas,-10
'05071','05','071',Johnson County,Arkansas,
'05073','05','073',Lafayette County,Arkansas,
'05075','05','075',Lawrence County,Arkansas,
'05077','05','077',Lee County,Arkansas,
'05085','05','085',Lonoke County,Arkansas,
'05097','05','097',Montgomery County,Arkansas,
'05103','05','103',Ouachita County,Arkansas,
'05115','05','115',Pope County,Arkansas,
'05119','05','119',Pulaski County,Arkansas,149
'05123','05','123',St. Francis County,Arkansas,
'05125','05','125',Saline County,Arkansas,
'05131','05','131',Sebastian County,Arkansas,
'05139','05','139',Union County,Arkansas,
'05141','05','141',Van Buren County,Arkansas,
'05143','05','143',Washington County,Arkansas,-36
'05147','05','147',Woodruff County,Arkansas,
'06001','06','001',Alameda County,California,-294
'06005','06','005',Amador County,California,-63
'06007','06','007',Butte County,California,-354
'06009','06','009',Calaveras County,California,
'06011','06','011',Colusa County,California,
'06013','06','013',Contra Costa County,California,23
'06015','06','015',Del Norte County,California,-90
'06017','06','017',El Dorado County,California,-50
'06019','06','019',Fresno County,California,-822
'06021','06','021',Glenn County,California,-16
'06023','06','023',Humboldt County,California,-575
'06025','06','025',Imperial County,California,-18
'06027','06','027',Inyo County,California,-65
'06029','06','029',Kern County,California,-4014
'06031','06','031',Kings County,California,328
'06033','06','033',Lake County,California,-109
'06035','06','035',Lassen County,California,-228
'06039','06','039',Madera County,California,-341
'06041','06','041',Marin County,California,-67
'06043','06','043',Mariposa County,California,
'06045','06','045',Mendocino County,California,-21
'06047','06','047',Merced County,California,-256
'06049','06','049',Modoc County,California,-26
'06051','06','051',Mono County,California,-231
'06053','06','053',Monterey County,California,-216
'06055','06','055',Napa County,California,-143
'06057','06','057',Nevada County,California,-80
'06059','06','059',Orange County,California,-4349
'06061','06','061',Placer County,California,207
'06063','06','063',Plumas County,California,
'06065','06','065',Riverside County,California,-4703
'06067','06','067',Sacramento County,California,-348
'06069','06','069',San Benito County,California,9
'06071','06','071',San Bernardino County,California,-8415
'06073','06','073',San Diego County,California,-579
'06075','06','075',San Francisco County,California,-192
'06077','06','077',San Joaquin County,California,-286
'06079','06','079',San Luis Obispo County,California,-550
'06081','06','081',San Mateo County,California,-209
'06083','06','083',Santa Barbara County,California,-734
'06085','06','085',Santa Clara County,California,-923
'06087','06','087',Santa Cruz County,California,-1
'06089','06','089',Shasta County,California,-35
'06091','06','091',Sierra County,California,15
'06093','06','093',Siskiyou County,California,
'06095','06','095',Solano County,California,-247
